score,artista,titulo,ano,problemas,palavras_descricao,n_referencias,n_referencias_com_versiculo
6,Jan van Bronchorst,Jetro aconselhando a Moisés,1659,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Jerónimo Cósida,O nascimento de João Batista,1580,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,John Everett Millais,O rico e Lázaro,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,John LaFarge,Visita de Nicodemos a Cristo,1888,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Joost van Geel,Jesus cura a sogra de Pedro,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Joseph von Führich,O caminho de Emaús,1837,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Karel Du Jardin,Paulo cura o aleijado em Listra,1663,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,"Lucas Cranach, o Velho",Lamento sob a Cruz,1503,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,"Lucas Cranach, o Velho",O exército do Faraó afogado no Mar Vermelho,1530,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",13,1,0
6,"Lucas Cranach, o Velho",O jardim do Éden,1530,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,"Lucas Cranach, o Velho",O milagre dos cinco pães e dois peixes,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",13,1,0
6,Léon Bazile Perrault,O primeiro assassinato,1899,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Matteo Rosselli,O triunfo de Davi,1620,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Nicolaes Berchem,O chamado de São Mateus,1657,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Paolo Veronese,Jesus e a mulher do fluxo de sangue,1565,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",11,1,0
6,Peter Paul Rubens,O Jardim do Éden com a Queda do homem,1615,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",13,1,0
6,Peter Paul Rubens,O filho pródigo,1618,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Francisco de Zurbarán,Pedro em lamento,,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Hieronymus Bosch,João na Ilha de Patmos,1489,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Frederic Leighton,Davi - Quem dera eu tivesse asas,1865,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Friedrich Overbeck,Jesus ressuscita a filha de Jairo,1815,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Friedrich Overbeck,Moisés é encontrado no rio,1823,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Masolino da Panicale,O arcanjo Gabriel,1430,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gerard van Honthorst,O coroamento de Jesus com espinhos,1622,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Gerard van Honthorst,O escárnio de Cristo,1617,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Gerard van Honthorst,O filho pródigo,1623,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gerard van Honthorst,O rei Davi tocando a Harpa,1622,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Gerbrand van den Eeckhout,José e os seus irmãos,1657,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
6,Giovanni Bellini,Transfiguração de Cristo,1487,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",6,1,0
6,Giovanni Benedetto Castiglione,Jornada da família de Abraão,1650,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Giovanni Lanfranco,Jesus e a mulher no poço,1625,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Giovanni Paolo Panini,São Paulo pregando em Atenas,1734,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Girolamo Romani,Mulher lavando os pés de Jesus,1545,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Guercino,O retorno do filho pródigo,1651,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Guercino,Sansão traz mel aos seus pais,1626,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Guido Reni,José e a mulher de Potifar,1630,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Gustave Doré,Jesus alimentando a multidão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,Jesus e as criancinhas,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,Jesus e o tributo a César,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Gustave Doré,Jesus e os discípulos a caminho de Emaús,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",11,1,0
6,Gustave Doré,Jesus orando no Jardim,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,José interpreta o sonho do Faraó,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Gustave Doré,Moisés quebrando as tábuas da lei,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Isidore Alexandre Augustin Pils,São Pedro curando o paralítico na porta do Templo,1838,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",14,1,0
6,Gustave Doré,O descer do Espírito,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,O erguimento da cruz,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,O fariseu e o publicano,1870,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Jacopo Tintoretto,O casamento de Caná,1561,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",7,1,0
6,Gustave Doré,O teste de fé de Abraão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",9,1,0
6,Gustave Doré,Os apóstolos saem a pregar,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",8,1,0
6,Gustave Doré,Os filhos de Israel cruzando o Jordão,1866,"SEM_DESCRICAO, SEM_CONTEXTO_HISTORICO, SEM_VERSICULO_ESPECIFICO",10,1,0
